fec;pet;eur;oro;dol;c18;c36;ibe
201218;54.35;3743.00;1298.60;3216.55;48.856;53.801;8596.50
211218;53.82;3746.50;1288.60;3246.86;48.654;54.001;8556.80
221218;52.47;3746.50;1297.37;3285.34;48.424;54.120;8559.25
231218;50.60;3727.00;1312.71;3285.34;48.196;54.129;8536.73
241218;50.47;3756.00;1302.40;3285.34;48.000;54.000;8480.60
251218;53.10;3743.50;1270.75;3285.51;47.860;53.719;8394.82
261218;54.47;3729.50;1303.70;3285.51;47.776;53.334;8333.65
271218;52.16;3744.50;1311.90;3289.69;47.743;52.906;8363.90
281218;52.20;3716.00;1313.70;3275.01;47.754;52.496;8493.70
291218;52.89;3716.00;1324.22;3249.75;47.805;52.168;8554.17
301218;53.39;3761.50;1329.83;3249.75;47.888;51.982;8549.05
311218;53.80;3725.00;1312.50;3249.75;48.000;52.000;8539.90
10119;54.24;3722.50;1283.35;3249.75;48.133;52.261;8562.57
20119;54.91;3674.00;1315.30;3249.75;48.282;52.710;8550.00
30119;55.95;3696.50;1326.10;3250.01;48.438;53.267;8523.30
40119;57.06;3638.50;1317.40;3241.20;48.595;53.854;8737.80
50119;57.34;3638.50;1316.26;3208.56;48.746;54.391;8825.56
60119;57.18;3643.50;1320.68;3208.56;48.883;54.799;8788.49
70119;57.33;3651.50;1321.50;3208.56;49.000;55.000;8776.30
80119;58.72;3605.50;1317.40;3208.56;49.090;54.941;8847.30
90119;61.44;3619.50;1323.50;3164.75;49.152;54.674;8823.60
100119;61.68;3608.50;1319.20;3128.07;49.184;54.280;8856.80
110119;60.48;3600.00;1321.30;3136.49;49.186;53.836;8877.10
120119;59.19;3600.00;1324.88;3151.49;49.156;53.422;8860.92
